Distance	CoexpressionScore
69.169838	1.100000
25.566749	0.800000
92.615140	1.000000
130.111586	4.100000
63.614894	0.900000
158.864216	1.600000
107.462233	0.900000
42.628337	1.300000
93.513296	1.500000
39.495883	0.500000
61.934588	1.200000
104.424561	1.300000
95.494128	1.100000
106.814239	0.800000
77.343290	1.100000
132.570238	1.500000
137.956812	1.300000
115.740615	0.500000
88.514384	0.800000
91.996246	0.800000
47.275799	1.100000
79.024537	0.800000
128.386609	0.500000
50.950352	0.600000
124.142450	1.500000
40.921853	0.800000
82.730177	0.700000
65.984589	0.800000
94.878852	0.900000
115.621753	0.900000
56.591156	2.000000
103.983399	0.500000
53.118436	1.200000
68.827350	1.600000
40.675260	1.300000
69.429424	0.700000
52.752272	0.600000
45.226248	0.500000
28.814122	0.900000
121.604494	0.700000
56.402767	1.100000
86.449443	2.000000
57.876244	0.500000
45.898843	1.100000
154.317998	0.400000
66.452330	0.600000
97.115381	1.400000
96.667799	0.600000
92.021936	0.800000
72.755039	0.300000
96.390053	1.000000
63.501411	0.500000
101.831451	1.600000
56.013364	1.400000
90.840585	1.100000
108.949661	0.700000
33.897027	0.700000
152.445239	0.700000
42.814375	0.800000
123.090576	0.600000
74.723717	0.900000
121.739507	0.700000
133.869313	1.200000
20.081576	1.500000
90.630325	0.600000
64.866204	1.200000
118.448296	1.400000
68.360093	1.000000
104.266495	0.900000
110.469627	1.100000
76.983822	2.200000
69.638962	0.700000
142.977763	0.500000
117.183591	1.200000
112.599426	0.400000
39.844620	1.600000
162.762209	1.000000
59.113932	2.100000
96.339305	0.600000
75.602075	1.100000
89.204546	1.400000
10.988111	0.600000
58.898162	1.800000
100.451306	0.700000
93.991694	1.600000
66.537974	0.600000
85.029410	2.300000
80.880186	0.500000
68.386775	0.900000
80.765612	1.600000
53.195818	0.600000
18.679522	0.500000
53.792936	0.500000
96.855193	1.500000
52.666030	1.600000
72.321036	1.400000
143.740955	0.800000
62.788683	1.200000
14.907821	0.900000
91.977412	2.400000
47.585294	0.500000
88.570573	1.600000
84.433454	1.200000
122.012421	1.200000
47.199573	0.600000
62.356863	1.300000
131.959156	0.600000
97.830078	1.000000
96.433589	0.900000
59.093951	1.200000
24.278453	1.900000
76.635040	1.200000
24.498290	1.300000
