SliceEntropy	CloudEntropy
1.70953	2.05469
1.95249	2.14268
1.8107	1.8107
2.09224	2.13135
1.35933	2.11741
2.02347	2.08721
1.90268	2.11741
1.5143	2.00274
1.70953	2.23662
1.91031	2.17288
1.49366	2.27341
1.70953	1.9983
1.56903	2.43908
2.13469	2.33716
1.75963	2.06928
1.95741	2.14268
1.9419	1.93565
2.2645	2.19741
2.06204	1.84229
1.8107	2.11341
2.06464	2.14713
1.79612	2.01623
2.27341	2.09791
2.06631	2.0743
1.68229	1.54959
1.91031	1.89151
1.85131	2.09565
1.49845	1.71612
1.9943	1.95526
1.85524	2.25791
1.90863	2.45701
1.80411	1.92154
2.2605	1.98464
2.12643	1.9943
2.14771	2.06268
2.12643	2.35508
2.09791	2.2081
1.90863	1.70953
2.2907	2.40154
2.01623	1.95508
2.2907	1.60274
2.40229	2.04092
1.8107	2.03249
1.59963	2.35341
1.91031	2.04011
1.47294	2.26115
1.73135	2.20735
1.35933	1.93056
1.84229	2.15031
1.49869	2.15031
2.03249	2.00489
1.77924	2.11341
2.01623	2.07031
2.27741	2.20643
1.71612	1.93056
2.13135	2.03174
1.90505	1.48914
2.37302	2.08721
1.6219	2.06204
1.90372	2.24154
2.19352	2.19612
1.84229	2.26115
1.79126	1.91327
1.92229	2.11294
1.70953	1.66337
2.09565	2.14268
1.76171	2.40489
1.95741	1.94849
1.90372	2.17947
2.06713	1.67263
2.11294	2.40229
2.2605	2.2605
1.82545	1.86682
1.67963	1.95508
1.97869	2.01883
2.11341	1.82053
1.90268	2.21469
1.49869	1.98464
1.65972	2.45701
2.08171	1.9983
1.73469	2.17883
2.03249	2.23662
1.71034	2.09623
1.71612	2.2921
2.03249	2.15031
1.69732	1.85391
2.08721	1.92229
2.40721	2.16229
2.08229	2.05869
2.08721	1.79249
1.25972	2.41883
1.93565	1.93056
2.37302	1.92154
1.82904	2.39263
2.19741	2.2921
1.85391	1.71526
1.99112	1.84229
1.88943	1.90604
2.45701	2.3076
2.15263	2.40721
1.81712	2.16322
1.8107	2.11174
2.03294	2.11741
1.9143	2.19741
1.71034	1.64735
2.28307	2.08229
1.54132	2.4743
2.4219	2.17224
2.09947	2.09131
1.60386	2.07031
1.74505	2.24229
1.9983	1.96151
1.8907	1.95693
1.95526	2.17224
1.9983	1.90863
2.1819	1.97869
1.64307	2.02347
1.74112	2.10132
1.70953	2.27249
1.48914	2.03249
1.84229	1.69732
1.82545	2.43741
2.04903	1.98545
2.06928	1.68229
1.95249	1.89151
1.9943	2.03508
1.40936	2.2343
1.9983	1.95741
1.97469	1.93224
1.57545	1.92229
1.87126	2.19741
2.16322	2.09224
2.09288	1.89151
2.07662	1.82053
2.1045	2.19693
1.95249	1.80092
2.03174	2.13366
2.03249	2.2921
1.84171	2.29469
1.86132	1.95249
2.30631	1.99662
1.99662	1.90863
2.07031	1.98545
1.98464	1.87126
2.06928	2.06545
1.48914	2.15112
2.08673	2.2107
1.61357	1.9943
1.89712	1.74337
1.54959	1.98545
1.9983	2.01623
1.40568	2.37469
2.19741	2.26132
1.82631	2.17224
1.84171	1.98372
2.24229	1.79034
2.12643	1.80411
1.90372	1.97469
1.69732	2.16322
1.12386	1.88307
2.30372	2.05469
1.82863	2.08489
1.82904	2.17947
1.77716	1.90268
2.15263	1.95693
1.75662	1.68229
1.54959	2.08721
1.9983	1.9943
1.77391	2.14604
1.92229	1.9983
2.19741	1.77357
2.32171	2.24386
1.82904	2.26115
1.9983	1.79352
1.95526	1.8383
1.73469	1.99112
1.8881	1.98505
1.93947	2.34682
2.16322	2.06713
1.84229	2.34682
2.01732	2.03174
1.96903	2.16229
2.2921	2.17565
2.22631	2.19908
2.11341	1.98372
1.66053	2.12092
1.95741	2.2921
1.57545	1.95526
2.11741	2.42282
2.06464	1.81712
1.69732	2.37135
2.12307	1.74297
1.96903	1.61357
1.70953	2.24154
1.77924	1.89151
1.98112	2.17224
1.91031	2.12568
1.75662	2.14771
2.20643	2.15112
1.84673	2.17947
1.56943	2.2578
1.84489	2.03249
1.48914	2.25391
1.97469	1.8383
1.71034	2.03174
1.53947	1.79034
1.57135	1.71526
1.67263	1.71034
1.54132	2.32888
1.69924	2.35249
2.32171	2.15031
1.81701	1.9983
1.96903	1.40092
2.01623	2.10347
1.77357	2.19741
1.66631	2.11741
2.17947	1.5143
2.10132	1.9983
1.85131	2.12092
1.77924	2.24489
1.40936	1.98464
2.09565	1.9983
1.53947	1.9983
2.12568	1.9983
1.73469	2.3076
1.57972	2.21366
1.7583	2.36307
1.70115	2.16229
1.77924	1.90053
2.32888	2.0743
2.29469	2.08721
2.19249	2.03174
1.84154	1.93224
2.01623	2.23112
1.85056	1.9943
1.89151	2.10132
2.15031	2.17224
2.2605	2.16489
2.45366	2.10132
1.8107	2.00274
2.21869	1.9143
2.45469	2.22863
2.01288	1.84229
1.74337	1.90863
1.90372	2.13135
1.93947	2.1307
2.26347	2.21869
1.86682	1.89712
2.17288	2.11294
2.17391	2.20643
1.9983	2.06631
1.75662	1.85391
1.84673	2.23112
1.90604	1.95693
1.95352	2.30372
2.11341	1.8907
1.82863	1.74297
1.90604	1.7583
1.74112	2.03693
1.49845	2.17947
2.17947	2.30372
2.10347	2.32888
2.44903	1.77288
1.85391	2.26282
1.88943	2.16229
1.66696	1.90631
2.14268	2.03693
1.36154	2.26347
2.2921	1.84229
2.03249	1.84673
1.81701	1.82863
2.17883	2.03249
1.67263	1.90372
1.84229	2.01565
1.93224	2.17224
2.38928	2.01883
1.75662	2.09791
2.26115	2.00489
1.94682	1.82053
2.08229	1.8383
1.80411	2.24154
2.06928	2.32888
1.95741	1.87126
1.99112	2.14268
1.97869	1.69288
2.01391	2.22771
2.34682	2.21469
1.95741	1.95526
1.59963	1.79294
2.39112	1.79126
1.90604	1.70953
2.25288	2.18115
2.06464	1.89151
1.95693	1.78132
1.77924	1.93056
1.90268	2.07171
1.6219	1.63485
2.26282	2.3983
2.39327	2.50282
1.71526	2.16229
1.57545	2.21869
1.74112	2.22771
1.77288	2.11341
2.2343	2.39263
2.2343	1.8383
1.91031	2.3183
1.68229	2.14863
1.97869	1.59956
1.79126	2.15031
2.09224	2.33716
1.65972	1.95693
1.95526	2.4481
2.11341	1.63485
1.27327	2.08386
1.85391	2.01623
1.75662	2.20643
1.75662	2.17224
2.39112	2.19741
1.95526	2.30631
1.71612	2.06928
1.93224	1.85524
1.70953	1.90268
1.57545	2.42849
1.47294	1.92229
1.93224	2.06204
1.56903	2.11174
1.74297	2.17732
2.08489	1.92229
2.35741	2.30863
1.9983	1.9983
2.06631	1.75662
2.32171	1.73469
1.95741	2.06204
1.73469	2.05869
1.95741	2.17947
1.98464	2.04011
1.70953	2.06204
2.06863	2.23662
2.06631	2.24322
1.40411	1.70953
2.2921	1.89151
2.00154	2.02347
2.03294	1.92154
1.71526	2.11294
1.59933	2.21701
2.15031	2.2907
1.99112	2.3681
1.8383	2.04011
1.59171	2.2605
2.09947	1.76171
1.71612	1.71034
1.7583	1.8881
1.60274	2.24171
1.8107	1.91031
2.05469	2.33791
1.95741	2.27341
1.96903	2.04011
1.71612	1.8383
1.91031	1.84229
1.74112	2.00274
2.30863	1.84171
2.09224	1.97469
1.8881	1.96568
1.67263	2.01623
1.93056	2.27341
2.08721	1.66053
1.79249	2.11294
2.13469	1.81712
2.05469	2.19741
2.08489	1.81701
1.90372	1.9378
1.84673	1.9943
1.70953	2.06545
1.93224	2.11294
1.81712	1.87444
2.04011	2.06904
2.01288	2.03249
2.06464	2.40888
2.03174	2.37302
1.58297	1.92229
2.00154	1.95174
1.77288	1.98372
1.81712	1.59171
2.21869	2.36643
1.95741	2.14604
2.16229	2.19908
2.17947	1.77391
2.09791	2.17947
1.79086	2.19612
2.06631	2.06713
1.86132	2.11741
1.56903	1.79034
1.77357	2.26115
2.1819	1.48914
1.73469	2.33791
1.64307	2.19741
1.61357	1.84171
2.03249	1.90604
2.35508	1.71294
1.54959	2.1819
1.95741	1.8881
1.66696	2.04011
1.46438	1.95693
2.19908	1.92229
2.17883	2.39327
1.97869	1.95508
1.66337	2.06545
2.16322	2.06545
1.57545	1.85056
1.77391	2.03249
1.51534	1.98464
1.89151	2.10132
1.75662	1.92193
2.13469	2.00171
2.24322	2.10132
1.86682	1.92229
2.19612	2.14268
1.90268	2.26115
1.57366	1.8107
2.12307	1.71294
1.99112	1.92229
2.01883	2.01623
1.82904	2.12643
1.97869	2.40154
1.66053	2.1778
1.71034	2.33791
1.56943	2.04011
1.67263	2.14268
1.9983	1.71294
1.81712	2.36307
1.57545	1.59171
2.06268	2.35341
1.99662	2.09791
1.8107	1.87126
1.66337	1.64307
2.14297	1.67263
2.02347	1.99112
1.02112	1.92229
1.98696	2.05869
2.01732	2.33716
1.74112	1.92229
2.16322	2.43908
2.03249	1.92229
1.69288	2.33716
2.32489	2.11612
1.92193	2.29701
1.9143	1.82631
2.45469	1.90863
1.74112	2.03249
1.84489	1.71294
2.41391	2.13135
1.59171	2.08721
1.95741	2.35341
1.68154	2.25791
2.1045	2.21869
2.43741	1.91327
2.57288	2.09623
2.22631	2.10132
1.9143	2.07662
1.49366	1.9943
2.07171	2.10347
2.2921	2.17224
1.95693	1.84229
1.24151	2.19249
2.13366	2.40489
1.79612	1.74337
1.75662	2.12643
1.56903	1.71294
2.15031	1.74112
2.09791	1.98464
1.80411	1.74297
1.78132	2.07171
1.69924	1.98464
1.93224	2.22771
1.51615	2.35341
2.08721	2.17288
1.84229	2.17732
1.70953	2.01623
1.56903	2.06713
2.16322	2.3183
2.11341	2.06204
1.51366	1.99963
2.16322	2.26115
1.82904	2.06204
2.21869	1.7583
1.85131	2.13366
1.70953	1.64307
2.14771	1.90863
1.55352	1.58268
2.1045	1.87485
1.9983	1.9983
2.19352	1.96568
2.19249	1.95508
2.2605	1.88903
1.59171	2.1045
1.78132	2.11341
2.39263	2.01623
2.05469	1.77288
1.73469	1.9983
2.12411	1.77924
1.81701	2.10347
2.03249	2.19352
2.11508	1.87444
1.84489	2.19612
1.93947	2.15031
2.08721	1.9378
2.09791	1.80307
2.01391	2.06713
1.90863	1.8383
1.79126	1.92154
2.50282	2.03174
1.90268	2.08721
2.07171	1.61357
2.17391	2.09565
1.91031	1.84171
1.93947	2.12903
1.93224	1.96151
1.85131	1.67263
2.06464	1.51956
1.91031	1.78132
2.48489	2.42682
1.89972	1.67963
2.26115	2.1819
2.1845	2.17883
1.98505	1.78132
2.34132	2.15031
2.37135	1.93391
1.8578	1.95693
1.78132	2.01623
1.59171	2.15112
1.54959	1.82863
2.1778	1.67263
1.51956	2.1045
2.11508	2.19352
2.3183	2.28411
1.90268	2.08489
2.11741	2.01732
1.81712	1.96151
1.84489	2.11741
1.42928	1.69288
1.91031	2.10347
2.17947	2.06464
2.01623	2.03249
2.08673	2.30863
2.05469	1.98464
1.73469	2.15031
2.48489	1.9983
1.73366	2.3076
1.8107	1.93224
1.73469	1.84489
1.73469	1.73469
2.06631	1.9943
1.95693	2.19741
2.01623	2.24322
2.08721	2.02347
1.29056	2.15031
1.91031	2.04011
1.90268	1.87444
1.91327	2.17391
1.49845	2.27249
1.95249	2.12643
2.22696	2.26115
2.17391	1.92229
2.06631	2.03174
2.01391	2.27341
1.57545	2.08721
1.51534	2.1819
1.70953	1.85391
2.19249	2.23327
1.9419	1.96151
1.73701	1.95508
1.95741	1.95508
1.90268	2.41883
2.07662	1.82863
2.03249	2.1845
2.2343	2.16229
2.13469	1.96151
1.24399	1.92229
2.04011	1.73469
1.82863	1.9983
1.87126	2.19249
1.79126	1.7583
2.3183	2.27341
1.93224	2.01565
1.71034	2.0783
1.70115	2.09224
1.84154	1.8907
1.8907	1.75662
2.09131	1.73469
2.2921	2.27249
2.1819	2.03249
2.11341	2.29701
1.77716	1.93924
1.81135	2.19741
1.74297	2.12643
1.42696	2.1845
1.9419	1.93565
2.06928	1.89712
1.19748	1.56903
1.81712	1.98545
1.97869	2.04903
1.88411	2.15031
1.9143	2.34347
2.00489	1.77716
1.35933	2.15031
2.26115	2.12568
2.21151	2.09791
2.03174	2.0783
1.52193	1.97869
1.56943	2.06268
2.09224	1.71526
1.99112	1.94682
1.87294	1.95508
1.15855	1.90268
1.92229	2.01623
1.93947	2.1019
2.07662	2.06204
1.71034	2.02132
1.69732	2.01883
1.9143	2.08721
1.64307	2.06713
1.74112	1.7019
1.64307	1.74337
2.11741	1.82631
1.58297	2.2605
1.89151	2.12307
2.19741	2.22696
1.97469	2.11741
1.93565	1.91031
1.54959	2.06268
1.88092	1.69924
1.54959	2.3076
1.70953	1.55352
1.54959	1.90505
1.89151	2.2921
1.85391	1.9143
2.48489	2.17947
1.75662	2.42282
2.02347	1.53548
1.74112	2.02347
1.76171	2.1019
2.17947	2.06268
1.56903	2.19249
1.77288	2.1819
2.07171	2.12903
1.70953	1.69732
1.96151	2.16229
1.71526	2.2619
2.15031	1.96151
1.87444	2.34682
1.92193	2.53135
2.11294	1.98464
2.14771	1.79612
1.96307	2.10132
1.71034	1.9943
2.03294	2.4481
2.04011	2.35341
1.70953	2.07031
1.62115	1.97151
2.3183	2.17947
1.95741	2.3707
1.56514	2.06464
2.0783	1.87294
2.28903	2.21366
2.14863	1.89712
1.90268	2.1819
2.29701	2.18849
2.14771	1.86682
1.77288	1.92229
2.43741	1.82631
2.14771	2.17224
1.9983	2.26282
2.1307	2.12643
2.17288	1.82904
1.66337	2.23662
2.19612	2.03174
2.09791	2.06713
2.09791	2.2578
1.56903	2.45302
1.35419	2.17224
1.56903	2.11341
1.38826	2.00171
1.74297	1.82863
2.09224	2.03174
1.75662	1.63485
1.84229	2.37302
2.62268	1.9983
