Gene	Field
YPR196W	E
YDL064W	E
YDR120C	E
YDR112W	E
YDR139C	E
YPR162C	E
YDR080W	E
YDR085C	E
YPR172W	E
YDR076W	E
YDR070C	E
YPR167C	E
YDR087C	E
YMR079W	E
YDR072C	E
YMR088C	E
YDR150W	E
YDR133C	E
YPR197C	E
YDR071C	E
YDR105C	E
YDL077C	E
YDR149C	E
YPR158W	E
YDR146C	E
YPR182W	E
YPR166C	E
YDR121W	E
YPR173C	E
YDR129C	E
YDL067C	E
YDR094W	E
YPR171W	E
YPR191W	E
YDL076C	E
YDR075W	E
YDR113C	E
YMR089C	E
YDL079C	E
YDL080C	E
YMR085W	E
YDL073W	E
YDR124W	E
YDR086C	E
YDR091C	E
YDR118W	E
YNL220W	F
YOR291W	F
YNL263C	F
YOR262W	F
YNL226W	F
YNL113W	F
YOR253W	F
YNL221C	F
YNL264C	F
YNL129W	F
YNL296W	F
YNL262W	F
YNL120C	F
YNL241C	F
YNL223W	F
YOL084W	F
YJL202C	F
YNL218W	F
YNL103W	F
YNL104C	F
YJL215C	F
YNL245C	F
YJL110C	F
YNL147W	F
YNL130C	F
YNL183C	F
YNL148C	F
YNL219C	F
YJL200C	F
YOR293W	F
YNL213C	F
YJL213W	F
YNL265C	F
YNL169C	F
YNL164C	F
YJL172W	F
YNL243W	F
YJL198W	F
YOR276W	F
YNL140C	F
YNL293W	F
YNL128W	F
YNL141W	F
YNL136W	F
YNL295W	F
YJL206C	F
YNL161W	F
YOL086C	F
YNL249C	F
YNL105W	F
YNL131W	F
YNL124W	F
YNL298W	F
YOR269W	F
YOR264W	F
YOR292C	F
YNL259C	F
YOR252W	F
YNL256W	F
YJL171C	F
YNL181W	F
YNL122C	F
YNL185C	F
YNL232W	F
YOR268C	F
YNL137C	F
YNL151C	F
YJL199C	F
YOR256C	F
YNL153C	F
YNL155W	F
YOR277C	F
YOR278W	F
YNL167C	F
YNL225C	F
YNL168C	F
YNL189W	F
YNL297C	F
YNL182C	F
YNL248C	F
YNL125C	F
YNL260C	F
YNL138W	F
YNL126W	F
YNL108C	F
YNL250W	F
YJL111W	F
YOR248W	F
YOR266W	F
YOR279C	F
YNL139C	F
YNL152W	F
YNL187W	F
YOR280C	F
YNL292W	F
YNL157W	F
YOR251C	F
YOR261C	F
YJL216C	F
YNL301C	F
YNL117W	F
YJL210W	F
YNL288W	F
YNL215W	F
YNL188W	F
YOR254C	F
YOR257W	F
YNL116W	F
YJL214W	F
YOR255W	F
YNL162W	F
YNL143C	F
YNL261W	F
YNL127W	F
YOR250C	F
YNL121C	F
YNL154C	F
YNL123W	F
YNL109W	F
YNL114C	F
YNL294C	F
YOR267C	F
YNL230C	F
YJL208C	F
YJL109C	F
YNL156C	F
YNL251C	F
YNL110C	F
YNL112W	F
YOR271C	F
YNL300W	F
YNL118C	F
YOR290C	F
YNL184C	F
YNL231C	F
YNL291C	F
